10181	6.36		29.34		22.98		361%		✅
10164	30.26		35.23		4.97		16%		✅
10172	25.90		32.44		6.54		25%		✅
10160	18.67		28.44		9.77		52%		✅
10166	16.95		34.17		17.22		102%		✅
10159	19.39		33.13		13.74		71%		✅
10156	10.84		22.20		11.36		105%		✅
10168	21.71		29.09		7.38		34%		✅
10177	23.91		32.58		8.67		36%		✅
10180	19.02		30.41		11.39		60%		✅
10184	20.40		30.63		10.23		50%		✅
10158	24.05		32.19		8.14		34%		✅
10190	23.55		33.50		9.95		42%		✅
10163	18.19		29.21		11.02		61%		✅
10157	27.02		34.91		7.89		29%		✅
10170	12.30		31.92		19.62		160%		✅
10155	9.11		24.14		15.03		165%		✅
10176	11.84		30.82		18.98		160%		✅
10173	18.67		29.58		10.91		58%		✅
10167	6.37		27.90		21.53		338%		✅
10174	18.50		29.82		11.32		61%		✅
10189	14.09		30.31		16.22		115%		✅
10192	5.23		25.53		20.30		388%		✅
10186	3.75		27.37		23.62		630%		✅
10161	18.58		29.02		10.44		56%		✅
10185	4.73		29.46		24.73		523%		✅
10183	24.32		32.92		8.60		35%		✅
10175	16.49		26.64		10.15		62%		✅
10187	9.94		24.04		14.10		142%		✅
10179	4.19		26.32		22.13		528%		✅
10182	-1.22		25.20		26.42		2166%		✅
10162	16.69		27.55		10.86		65%		✅
10165	-2.60		27.37		29.97		1153%		✅
10169	11.32		28.15		16.83		149%		✅
10188	13.23		30.05		16.82		127%		✅
10171	-0.88		26.09		26.97		3065%		✅
10178	2.61		30.56		27.95		1071%		✅
10191	23.43		24.29		0.86		4%		❌
10193	19.26		23.62		4.36		23%		✅
10202	14.82		29.54		14.72		99%		✅
10194	13.41		24.25		10.84		81%		✅
10199	15.62		25.69		10.07		64%		✅
10195	13.67		25.23		11.56		85%		✅
10203	26.54		31.37		4.83		18%		✅
10196	16.84		22.82		5.98		36%		✅
10225	6.00		23.48		17.48		291%		✅10198	19.43		31.32		11.89		61%		✅

10205	10.49		28.48		17.99		171%		✅
10197	7.38		26.51		19.13		259%		✅
10216	21.11		23.34		2.23		11%		❌
10200	6.33		31.92		25.59		404%		✅
10220	17.10		33.34		16.24		95%		✅
10206	12.17		30.37		18.20		150%		✅
10226	4.75		30.90		26.15		551%		✅
10208	12.86		27.47		14.61		114%		✅
10215	20.79		32.78		11.99		58%		✅
10218	22.36		31.09		8.73		39%		✅
10210	19.03		25.19		6.16		32%		✅
10201	15.02		28.71		13.69		91%		✅
10212	23.11		28.19		5.08		22%		✅
10207	14.78		30.01		15.23		103%		✅
10214	8.00		30.27		22.27		278%		✅
10213	4.93		27.00		22.07		448%		✅
10204	16.77		28.12		11.35		68%		✅
10219	15.67		29.84		14.17		90%		✅
10211	-7.30		25.92		33.22		455%		✅
10209	10.97		26.85		15.88		145%		✅
10227	19.35		29.02		9.67		50%		✅
10223	23.03		29.10		6.07		26%		✅
10230	8.05		30.10		22.05		274%		✅
10221	6.96		27.76		20.80		299%		✅
10229	18.66		27.15		8.49		45%		✅
10217	20.54		25.76		5.22		25%		✅
10222	20.31		30.39		10.08		50%		✅
10228	7.78		30.97		23.19		298%		✅
10224	13.27		29.00		15.73		119%		✅
10231	6.67		31.10		24.43		366%		✅
10235	5.58		29.30		23.72		425%		✅
10240	23.27		34.18		10.91		47%		✅
10244	-0.88		29.50		30.38		3452%		✅10237	15.03		24.39		9.36		62%		✅

10236	21.90		30.45		8.55		39%		✅
10239	10.89		26.45		15.56		143%		✅
10246	10.71		25.09		14.38		134%		✅
10243	8.12		30.23		22.11		272%		✅
10245	27.10		33.80		6.70		25%		✅
10252	8.46		25.80		17.34		205%		✅
10247	19.12		27.28		8.16		43%		✅
10241	7.38		26.98		19.60		266%		✅
10248	7.04		29.80		22.76		323%		✅
10254	18.40		29.54		11.14		61%		✅
10251	18.56		29.64		11.08		60%		✅
10234	19.42		30.93		11.51		59%		✅
10233	13.23		25.98		12.75		96%		✅
10232	5.31		29.95		24.64		464%		✅
10242	26.84		23.93		-2.91		-11%		❌
10253	4.75		27.40		22.65		477%		✅
10238	12.49		27.38		14.89		119%		✅
10249	16.10		31.02		14.92		93%		✅
10250	16.72		25.85		9.13		55%		✅
10257	18.00		31.27		13.27		74%		✅
10256	-2.99		27.56		30.55		1022%		✅
10255	19.44		23.62		4.18		22%		✅
